Date,Place,amount,Month,Year,Day,City
2015-12-08,STARBUCKS SFU 67355 BURNABY BC,2.0,DEC,2015,08,BURNABY
2015-12-09,SUSHI CALIFORNIA COQUITLAM BC,2.52,DEC,2015,09,COQUITLAM
2015-12-09,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.08,DEC,2015,09,VANCOUVER
2015-12-09,A&W RESTAURANT 0744 NORTH VANCOUVBC,4.73,DEC,2015,09,NORTH VANCOUVER
2015-12-09,CHEVRON 7009 E HASTINGS BURNABY BC,30.78,DEC,2015,09,BURNABY
2015-12-10,NESTERS MARKET #80063 BURNABY BC,14.99,DEC,2015,10,BURNABY
2015-12-10,STARBUCKS SFU 67355 BURNABY BC,2.0,DEC,2015,10,BURNABY
2015-12-10,MCDONALD'S #12135 Q04 COQUITLAM BC,8.36,DEC,2015,10,COQUITLAM
2015-12-11,DENNY'S 03-089 COQUITL COQUITLAM BC,17.7,DEC,2015,11,COQUITLAM
2015-12-11,WAL-MART SUPERCENTER#3057VANCOUVER BC,2.87,DEC,2015,11,VANCOUVER
2015-12-12,WAL-MART SUPERCENTER#3057VANCOUVER BC,8.62,DEC,2015,12,VANCOUVER
2015-12-12,APL* ITUNES.COM/BILL 800-676-2775 ON,1.33,DEC,2015,12,Unknown
2015-12-12,PINE SUSHI SQUARE NORTH VANCOUVBC,9.16,DEC,2015,12,NORTH VANCOUVER
2015-12-13,ESSO 3965 NORTH ROAD BURNABY BC,40.0,DEC,2015,13,NORTH VANCOUVER
2015-12-13,MCDONALD'S #1449 Q04 COQUITLAM BC,1.46,DEC,2015,13,COQUITLAM
2015-12-14,CHARTWELLSSFUWHITQPS BURNABY BC,5.24,DEC,2015,14,BURNABY
2015-12-16,STARBUCKS SFU 67355 BURNABY BC,2.0,DEC,2015,16,BURNABY
2015-12-16,RYL COLUMBIAN HOSP QPS NEW WESTMINSTBC,5.13,DEC,2015,16,NEW WESTMINSTER
2015-12-16,WAL-MART SUPERCENTER#3057VANCOUVER BC,2.1,DEC,2015,16,VANCOUVER
2015-12-16,WAL-MART SUPERCENTER#3057VANCOUVER BC,14.71,DEC,2015,16,VANCOUVER
2015-12-17,WAL-MART SUPERCENTER#1192NEW WESTMINSTBC,8.62,DEC,2015,17,NEW WESTMINSTER
2015-12-17,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,22.4,DEC,2015,17,NEW WESTMINSTER
2015-12-17,MCDONALD'S #21433 NEW WESTMINSTBC,9.5,DEC,2015,17,NEW WESTMINSTER
2015-12-18,CINEPLEX ENTERTAINMENT 416-323-6600 ON,17.5,DEC,2015,18,Unknown
2015-12-18,QUESADA BURRITOS AND TACOBURNABY BC,7.02,DEC,2015,18,BURNABY
2015-12-18,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.91,DEC,2015,18,NORTH VANCOUVER
2015-12-18,CHEVRON 7009 E HASTINGS BURNABY BC,46.44,DEC,2015,18,BURNABY
2015-12-19,THE CRISPY COD NORTH VANCOUVBC,4.2,DEC,2015,19,NORTH VANCOUVER
2015-12-19,DENNY'S 03-089 COQUITL COQUITLAM BC,13.84,DEC,2015,19,COQUITLAM
2015-12-20,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,25.0,DEC,2015,20,NORTH VANCOUVER
2015-12-20,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,3.0,DEC,2015,20,NORTH VANCOUVER
2015-12-20,PINE SUSHI SQUARE NORTH VANCOUVBC,9.81,DEC,2015,20,NORTH VANCOUVER
2015-12-21,TELUS MOBILITY SCARBOROUGH ON,255.39,DEC,2015,21,Unknown
2015-12-21,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.08,DEC,2015,21,VANCOUVER
2016-11-28,TIM HORTONS - FOREST VANCOUVER BC,5.61,NOV,2016,28,VANCOUVER
2016-11-28,MCDONALD'S #21433 NEW WESTMINSTBC,1.25,NOV,2016,28,NEW WESTMINSTER
2016-11-29,STARBUCKS 04526 VANCOUVER BC,0.2,NOV,2016,29,VANCOUVER
2016-11-29,STARBUCKS 04526 VANCOUVER BC,5.2,NOV,2016,29,VANCOUVER
2016-11-29,TIM HORTONS - FOREST VANCOUVER BC,4.61,NOV,2016,29,VANCOUVER
2016-11-29,CHEVRON 1720 NANAIMO ST VANCOUVER BC,50.09,NOV,2016,29,VANCOUVER
2016-12-02,DENNY'S 03-087 VANCOUV VANCOUVER BC,10.73,DEC,2016,02,VANCOUVER
2016-12-04,7 ELEVEN STORE #14850 COQUITLAM BC,5.8,DEC,2016,04,TORONTO
2016-12-04,PIZZA HUT BURNABY BC,12.86,DEC,2016,04,BURNABY
2016-12-06,RUNNING CHICKEN VANCOUVER BC,10.0,DEC,2016,06,VANCOUVER
2016-12-06,UPPER CASE VANCOUVER BC,4.95,DEC,2016,06,VANCOUVER
2016-12-07,CHEVRON 3 EAST EIGHTH AV NEW WESTMINSTBC,50.0,DEC,2016,07,NEW WESTMINSTER
2016-12-07,BAMBOO GARDEN CHINESE RESBURNABY BC,9.44,DEC,2016,07,BURNABY
2016-12-08,G&J FOOD LTD. RICHMOND BC,9.3,DEC,2016,08,RICHMOND
2016-12-09,NESTERS MARKET #80063 BURNABY BC,12.81,DEC,2016,09,BURNABY
2016-12-09,CHEVRON 3 EAST EIGHTH AV NEW WESTMINSTBC,10.03,DEC,2016,09,NEW WESTMINSTER
2016-01-26,STARBUCKS 00137 N WESTMINSTERBC,2.0,JAN,2016,26,NEW WESTMINSTER
2016-01-26,PIZZA HUT #31105 NEW WESTMINSTBC,10.5,JAN,2016,26,NEW WESTMINSTER
2016-01-26,SHELL 4191 NORTH RD BURNABY BC,40.75,JAN,2016,26,NORTH VANCOUVER
2016-01-27,CHARTWELLSSFUMACKQPS BURNABY BC,5.24,JAN,2016,27,BURNABY
2016-01-27,BAY SUSHI CAFE LTD VANCOUVER BC,11.81,JAN,2016,27,VANCOUVER
2016-01-27,BELL MOBILITY VERDUN QC,160.83,JAN,2016,27,Unknown
2016-01-28,PLAYSTATION SONYENTERT 800-345-7669 ON,49.98,JAN,2016,28,Unknown
2016-01-28,WAL-MART SUPERCENTER#3057VANCOUVER BC,7.58,JAN,2016,28,VANCOUVER
2016-01-28,WAL-MART SUPERCENTER#3057VANCOUVER BC,2.98,JAN,2016,28,VANCOUVER
2016-01-28,PINE SUSHI SQUARE NORTH VANCOUVBC,9.95,JAN,2016,28,NORTH VANCOUVER
2016-01-28,SIMON FRASER UNIVERSITY BURNABY BC,5.0,JAN,2016,28,BURNABY
2016-01-29,CHARTWELLSSFURAVEQPS BURNABY BC,5.24,JAN,2016,29,BURNABY
2016-01-29,PINE SUSHI SQUARE NORTH VANCOUVBC,9.95,JAN,2016,29,NORTH VANCOUVER
2016-01-29,MICROSOFT *XBOXLIVE MISSISSAUGA ON,11.19,JAN,2016,29,Unknown
2016-01-30,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,JAN,2016,30,NEW WESTMINSTER
2016-01-31,WAL-MART SUPERCENTER#3057VANCOUVER BC,5.47,JAN,2016,31,VANCOUVER
2016-01-31,WAL-MART SUPERCENTER#3057VANCOUVER BC,17.78,JAN,2016,31,VANCOUVER
2016-01-31,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.62,JAN,2016,31,NORTH VANCOUVER
2016-01-31,PINE SUSHI SQUARE NORTH VANCOUVBC,9.95,JAN,2016,31,NORTH VANCOUVER
2016-01-31,A&W CAPILANO MALL NORTH VANCOUVBC,2.63,JAN,2016,31,NORTH VANCOUVER
2016-02-01,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,FEB,2016,01,NEW WESTMINSTER
2016-02-01,SIMON FRASER UNIVERSITY BURNABY BC,5.0,FEB,2016,01,BURNABY
2016-02-02,PLAYSTATION SONYENTERT 800-345-7669 ON,14.99,FEB,2016,02,Unknown
2016-02-02,GUADALUPE RESTAURANTS BURNABY BC,9.19,FEB,2016,02,BURNABY
2016-02-02,CHARTWELLSSFURAVEQPS BURNABY BC,2.3,FEB,2016,02,BURNABY
2016-02-02,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,FEB,2016,02,NEW WESTMINSTER
2016-02-02,SIMON FRASER UNIVERSITY BURNABY BC,5.0,FEB,2016,02,BURNABY
2016-02-03,SAFEWAY #4917 NEW WESTMINSTBC,5.81,FEB,2016,03,NEW WESTMINSTER
2016-02-03,RENAISSANCE CAFE BURNABY BC,2.3,FEB,2016,03,SAN FRANSCISCO
2016-02-03,CHEVRON 3 EAST EIGHTH AV NEW WESTMINSTBC,10.4,FEB,2016,03,NEW WESTMINSTER
2016-02-04,SUSHI CALIFORNIA COQUITLAM BC,20.95,FEB,2016,04,COQUITLAM
2016-02-04,SIMON FRASER UNIVERSITY BURNABY BC,5.0,FEB,2016,04,BURNABY
2016-02-04,SIMON FRASER UNIVERSITY BURNABY BC,5.0,FEB,2016,04,BURNABY
2016-02-05,KOYA JAPAN BURNABY BC,8.18,FEB,2016,05,BURNABY
2016-02-25,STARBUCKS SFU 67355 BURNABY BC,2.0,FEB,2016,25,BURNABY
2016-02-25,G&J FOOD BURNABY BC,8.4,FEB,2016,25,BURNABY
2016-02-26,FATBURGER LOUGHEED BURNABY BC,10.49,FEB,2016,26,BURNABY
2016-02-27,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,3.0,FEB,2016,27,NORTH VANCOUVER
2016-02-27,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.1,FEB,2016,27,NORTH VANCOUVER
2016-02-27,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,4.29,FEB,2016,27,NORTH VANCOUVER
2016-02-28,MICROSOFT *XBOXLIVE MISSISSAUGA ON,11.19,FEB,2016,28,Unknown
2016-02-28,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.1,FEB,2016,28,NORTH VANCOUVER
2016-02-28,PINE SUSHI SQUARE NORTH VANCOUVBC,8.96,FEB,2016,28,NORTH VANCOUVER
2016-02-29,L A SUSHI BURNABY BC,13.86,FEB,2016,29,BURNABY
2016-03-01,PLAYSTATION SONYENTERT 800-345-7669 ON,39.99,MAR,2016,01,Unknown
2016-03-02,G&J FOOD BURNABY BC,8.4,MAR,2016,02,BURNABY
2016-03-02,STARBUCKS SFU 67355 BURNABY BC,2.0,MAR,2016,02,BURNABY
2016-03-02,QUESADA BURRITOS AND TACOBURNABY BC,7.02,MAR,2016,02,BURNABY
2016-03-03,BOOSTERJUICE 117 LANGLEY BC,4.25,MAR,2016,03,Unknown
2016-03-04,OPA070-LANGLEY LANGLEY BC,10.28,MAR,2016,04,Unknown
2016-03-04,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.1,MAR,2016,04,NORTH VANCOUVER
2016-03-04,SHELL 6511 HASTINGS ST BURNABY BC,20.0,MAR,2016,04,BURNABY
2016-03-05,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,14.12,MAR,2016,05,NORTH VANCOUVER
2016-03-06,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.08,MAR,2016,06,VANCOUVER
2016-03-06,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,16.91,MAR,2016,06,NORTH VANCOUVER
2016-03-06,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,11.45,MAR,2016,06,NORTH VANCOUVER
2016-03-06,ESSO 3965 NORTH ROAD BURNABY BC,40.0,MAR,2016,06,NORTH VANCOUVER
2016-03-08,SUSHI CALIFORNIA COQUITLAM BC,10.45,MAR,2016,08,COQUITLAM
2016-03-09,SUSHI CALIFORNIA COQUITLAM BC,10.45,MAR,2016,09,COQUITLAM
2016-03-12,WAL-MART SUPERCENTER#3057VANCOUVER BC,11.52,MAR,2016,12,VANCOUVER
2016-03-12,STARBUCKS SFU 67355 BURNABY BC,2.0,MAR,2016,12,BURNABY
2016-03-13,CHURCH'S CHICKEN VANCOUVER BC,6.05,MAR,2016,13,VANCOUVER
2016-03-13,PINE SUSHI SQUARE NORTH VANCOUVBC,7.16,MAR,2016,13,NORTH VANCOUVER
2016-03-14,KOYA JAPAN BURNABY BC,8.18,MAR,2016,14,BURNABY
2016-03-14,STARBUCKS SFU 67355 BURNABY BC,2.0,MAR,2016,14,BURNABY
2016-03-14,ESSO 3965 NORTH ROAD BURNABY BC,40.0,MAR,2016,14,NORTH VANCOUVER
2016-03-14,MCDONALD'S #1449 Q04 COQUITLAM BC,1.88,MAR,2016,14,COQUITLAM
2016-03-15,G&J FOOD BURNABY BC,8.4,MAR,2016,15,BURNABY
2016-03-15,PIZZA HUT BURNABY BC,13.64,MAR,2016,15,BURNABY
2016-03-17,SIMON FRASER UNIVERSITY BURNABY BC,5.0,MAR,2016,17,BURNABY
2016-03-17,SIMON FRASER UNIVERSITY BURNABY BC,5.0,MAR,2016,17,BURNABY
2016-03-18,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,10.45,MAR,2016,18,NORTH VANCOUVER
2016-03-18,MCDONALD'S #21433 NEW WESTMINSTBC,6.39,MAR,2016,18,NEW WESTMINSTER
2016-03-18,STARBUCKS SFU 67355 BURNABY BC,2.0,MAR,2016,18,BURNABY
2016-03-19,WAL-MART SUPERCENTER#3057VANCOUVER BC,2.24,MAR,2016,19,VANCOUVER
2016-03-19,CHARTWELLS - #67358 BURNABY BC,2.0,MAR,2016,19,BURNABY
2016-03-19,TOMMY HILFIGER #0720 NEW WESTMINSTBC,54.49,MAR,2016,19,NEW WESTMINSTER
2016-03-19,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,4.65,MAR,2016,19,NORTH VANCOUVER
2016-03-19,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.1,MAR,2016,19,NORTH VANCOUVER
2016-03-20,WAL-MART SUPERCENTER#3057VANCOUVER BC,4.0,MAR,2016,20,VANCOUVER
2016-03-20,STARBUCKS 04440 N VANCOUVER BC,2.0,MAR,2016,20,VANCOUVER
2016-03-20,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.88,MAR,2016,20,NORTH VANCOUVER
2016-03-20,PINE SUSHI SQUARE NORTH VANCOUVBC,9.87,MAR,2016,20,NORTH VANCOUVER
2016-03-20,MCDONALD'S #21433 NEW WESTMINSTBC,4.29,MAR,2016,20,NEW WESTMINSTER
2016-03-20,ESSO 3965 NORTH ROAD BURNABY BC,43.61,MAR,2016,20,NORTH VANCOUVER
2016-03-21,STARBUCKS SFU 67355 BURNABY BC,2.0,MAR,2016,21,BURNABY
2016-03-21,KOYA JAPAN BURNABY BC,9.85,MAR,2016,21,BURNABY
2016-09-02,FAMOUS PLAYER 1412QPS COQUITLAM BC,3.34,SEP,2016,02,COQUITLAM
2016-09-02,THRIFTY FOODS 9474 VANCOUVER BC,7.69,SEP,2016,02,VANCOUVER
2016-09-02,WAL-MART SUPERCENTER#3008BURNABY BC,0.98,SEP,2016,02,BURNABY
2016-09-02,ESSO 3965 NORTH ROAD BURNABY BC,40.0,SEP,2016,02,NORTH VANCOUVER
2016-09-03,TENTATSU BURNABY BC,27.72,SEP,2016,03,BURNABY
2016-09-04,WAL-MART SUPERCENTER#3057VANCOUVER BC,6.51,SEP,2016,04,VANCOUVER
2016-09-04,GROUPON CANADAINC 877-788-7858 QC,40.0,SEP,2016,04,Unknown
2016-09-05,WAL-MART SUPERCENTER#3008BURNABY BC,6.65,SEP,2016,05,BURNABY
2016-09-05,DRIVE BADMINTON CENTRE RICHMOND BC,14.0,SEP,2016,05,RICHMOND
2016-09-05,MCDONALD'S #12417 QPS COQUITLAM BC,2.09,SEP,2016,05,COQUITLAM
2016-09-06,SFU BOOKSTORE BURNABY BURNABY BC,158.83,SEP,2016,06,TORONTO
2016-09-07,HOUSE OF TOFU SOUP BURNABY BC,13.89,SEP,2016,07,BURNABY
2016-09-08,SHAW CABLESYSTEMS CALGARY AB,44.77,SEP,2016,08,Unknown
2016-09-09,BUBBLE WAFFLE HOUSE BURNABY BC,8.35,SEP,2016,09,BURNABY
2016-09-09,WAL-MART SUPERCENTER#1205SURREY BC,25.32,SEP,2016,09,SURREY
2016-09-09,SFU BOOKSTORE BURNABY BURNABY BC,265.65,SEP,2016,09,TORONTO
2016-09-09,TEXTBOOKRENTAL.CA OTTAWA ON,112.49,SEP,2016,09,Unknown
2016-09-09,STARBUCKS 04941 SURREY BC,2.0,SEP,2016,09,SURREY
2016-09-09,BEST SUSHI N KITCHEN COQUITLAM BC,33.32,SEP,2016,09,COQUITLAM
2016-07-27,STARBUCKS SFU 67355 BURNABY BC,2.1,JUL,2016,27,BURNABY
2016-07-28,ESSO 3965 NORTH ROAD BURNABY BC,20.0,JUL,2016,28,NORTH VANCOUVER
2016-07-29,SFU BOOKSTORE BURNABY BURNABY BC,0.84,JUL,2016,29,TORONTO
2016-07-30,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,JUL,2016,30,NORTH VANCOUVER
2016-07-30,A&W CAPILANO MALL NORTH VANCOUVBC,6.62,JUL,2016,30,NORTH VANCOUVER
2016-07-31,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,JUL,2016,31,NORTH VANCOUVER
2016-07-31,ESSO 3965 NORTH ROAD BURNABY BC,20.0,JUL,2016,31,NORTH VANCOUVER
2016-07-31,A&W CAPILANO MALL NORTH VANCOUVBC,6.28,JUL,2016,31,NORTH VANCOUVER
2016-08-01,SAVE ON FOODS #2221 BURNABY BC,11.36,AUG,2016,01,BURNABY
2016-08-01,SUSHI CALIFORNIA COQUITLAM BC,6.64,AUG,2016,01,COQUITLAM
2016-08-02,WAL-MART SUPERCENTER#3057VANCOUVER BC,0.17,AUG,2016,02,VANCOUVER
2016-08-02,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.08,AUG,2016,02,VANCOUVER
2016-08-02,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,AUG,2016,02,NORTH VANCOUVER
2016-08-03,BEST BUY #941 RICHMOND BC,336.44,AUG,2016,03,RICHMOND
2016-08-03,ESSO 3965 NORTH ROAD BURNABY BC,40.0,AUG,2016,03,NORTH VANCOUVER
2016-08-04,STARBUCKS SFU 67355 BURNABY BC,4.78,AUG,2016,04,BURNABY
2016-04-26,DENNY'S 03-089 COQUITL COQUITLAM BC,10.26,APR,2016,26,COQUITLAM
2016-04-26,ESSO 3965 NORTH ROAD BURNABY BC,40.0,APR,2016,26,NORTH VANCOUVER
2016-04-27,WAL-MART SUPERCENTER#3057VANCOUVER BC,224.01,APR,2016,27,VANCOUVER
2016-04-28,"TREO, PORT MANN BRIDGE TOCOQUITLAM BC",10.9,APR,2016,28,COQUITLAM
2016-04-28,BELL MOBILITY VERDUN QC,186.83,APR,2016,28,Unknown
2016-04-28,PHO 51 PORT COQUITLABC,11.77,APR,2016,28,COQUITLAM
2016-04-29,TIM HORTONS 3965 QTH PORT COQUITLABC,2.3,APR,2016,29,COQUITLAM
2016-04-29,ESSO 3965 NORTH ROAD BURNABY BC,40.0,APR,2016,29,NORTH VANCOUVER
2016-05-02,PINE SUSHI SQUARE NORTH VANCOUVBC,8.51,MAY,2016,02,NORTH VANCOUVER
2016-05-03,WAL-MART SUPERCENTER#1112PORT COUQUITLBC,6.79,MAY,2016,03,Unknown
2016-05-04,SHAW CABLESYSTEMS CALGARY AB,23.44,MAY,2016,04,Unknown
2016-05-05,PLAYSTATION SONYENTERT 800-345-7669 ON,19.99,MAY,2016,05,Unknown
2016-05-06,FONG HOLDINGS LTD - AUTO BURNABY BC,7.5,MAY,2016,06,BURNABY
2016-05-06,PETROCAN-710 SE MARINE DRVANCOUVER BC,40.0,MAY,2016,06,VANCOUVER
2016-05-07,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.08,MAY,2016,07,VANCOUVER
2016-05-07,WAL-MART SUPERCENTER#3057VANCOUVER BC,9.95,MAY,2016,07,VANCOUVER
2016-05-07,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.52,MAY,2016,07,VANCOUVER
2016-05-07,NIKE FACTORY OUTLET MC RICHMOND BC,43.64,MAY,2016,07,TORONTO
2016-05-07,UNDER ARMOUR VANCOUVER RICHMOND BC,60.45,MAY,2016,07,VANCOUVER
2016-05-07,LINDT & SPRUNGLI RICHMOND BC,6.24,MAY,2016,07,RICHMOND
2016-05-07,STARBUCKS 04440 N VANCOUVER BC,2.59,MAY,2016,07,VANCOUVER
2016-05-07,SAVE ON FOODS #2249 N VANCOUVER BC,8.43,MAY,2016,07,VANCOUVER
2016-05-08,FIVE GUYS BURGERS FRI PORT COQUITLABC,4.92,MAY,2016,08,COQUITLAM
2016-05-08,WAL-MART SUPERCENTER#1112PORT COUQUITLBC,1.31,MAY,2016,08,Unknown
2016-05-08,MCDONALD'S #40343 PORT COQUITLABC,1.05,MAY,2016,08,COQUITLAM
2016-05-08,MCDONALD'S #40343 PORT COQUITLABC,1.05,MAY,2016,08,COQUITLAM
2016-05-09,SAVE ON FOODS #2249 N VANCOUVER BC,6.21,MAY,2016,09,VANCOUVER
2016-05-09,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,MAY,2016,09,NORTH VANCOUVER
2016-05-09,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,MAY,2016,09,NORTH VANCOUVER
2016-05-10,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,10.45,MAY,2016,10,NORTH VANCOUVER
2016-05-10,STARBUCKS 04440 N VANCOUVER BC,2.33,MAY,2016,10,VANCOUVER
2016-05-10,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,MAY,2016,10,NORTH VANCOUVER
2016-05-11,SAFEWAY #4917 NEW WESTMINSTBC,5.09,MAY,2016,11,NEW WESTMINSTER
2016-05-11,SIMON FRASER UNIVERSITY BURNABY BC,3.25,MAY,2016,11,BURNABY
2016-04-03,APL* ITUNES.COM/BILL 800-676-2775 ON,1.29,APR,2016,03,Unknown
2016-04-05,ESSO 3965 NORTH ROAD BURNABY BC,40.0,APR,2016,05,NORTH VANCOUVER
2016-04-13,MUNDIES ROYAL CITY TOWINBURNABY BC,113.07,APR,2016,13,BURNABY
2016-04-13,BONNY'S TAXI QC 89 BURNABY BC,17.7,APR,2016,13,BURNABY
2016-04-17,WAL-MART SUPERCENTER#3008BURNABY BC,5.6,APR,2016,17,BURNABY
2016-04-18,WAL-MART SUPERCENTER#3008BURNABY BC,10.22,APR,2016,18,BURNABY
2016-04-18,ESSO 3965 NORTH ROAD BURNABY BC,40.0,APR,2016,18,NORTH VANCOUVER
2016-04-20,PLAYSTATION SONYENTERT 800-345-7669 ON,14.99,APR,2016,20,Unknown
2016-04-20,PHO LICIOUS RICHMOND BC,7.25,APR,2016,20,RICHMOND
2016-04-20,SIMON FRASER UNIVERSITY BURNABY BC,5.0,APR,2016,20,BURNABY
2016-04-20,SIMON FRASER UNIVERSITY BURNABY BC,5.0,APR,2016,20,BURNABY
2016-04-21,IMPARK00010123U VANCOUVER BC,5.0,APR,2016,21,VANCOUVER
2016-06-27,KFC/TACO BELL #1840 DELTA BC,8.91,JUN,2016,27,Unknown
2016-06-27,ESSO 3965 NORTH ROAD BURNABY BC,20.0,JUN,2016,27,NORTH VANCOUVER
2016-06-28,WAL-MART SUPERCENTER#5838SURREY BC,1.33,JUN,2016,28,SURREY
2016-06-28,WAL-MART SUPERCENTER#5838SURREY BC,25.73,JUN,2016,28,SURREY
2016-06-28,NORDEL SUSHI SURREY BC,14.38,JUN,2016,28,SURREY
2016-06-30,QUESADA BURRITOS AND TACOBURNABY BC,9.02,JUN,2016,30,BURNABY
2016-06-30,DENNY'S 03-071 VANCOUV VANCOUVER BC,15.7,JUN,2016,30,VANCOUVER
2016-06-30,STARBUCKS 00174 VANCOUVER BC,2.0,JUN,2016,30,VANCOUVER
2016-06-30,CHEVRON 496 E COLUMBIA S NEW WESTMINSTBC,20.18,JUN,2016,30,NEW WESTMINSTER
2016-07-01,MCDONALD'S #14908 BURNABY BC,1.05,JUL,2016,01,BURNABY
2016-07-01,SHAW CABLESYSTEMS CALGARY AB,89.12,JUL,2016,01,Unknown
2016-07-02,KFC/TACO BELL #1840 DELTA BC,7.63,JUL,2016,02,Unknown
2016-07-02,MCDONALD'S #40141 SURREY BC,1.05,JUL,2016,02,SURREY
2016-07-03,WAL-MART SUPERCENTER#5838SURREY BC,1.4,JUL,2016,03,SURREY
2016-07-03,WAL-MART SUPERCENTER#5838SURREY BC,1.33,JUL,2016,03,SURREY
2016-07-03,NORDEL SUSHI SURREY BC,14.79,JUL,2016,03,SURREY
2016-07-04,ESSO 3965 NORTH ROAD BURNABY BC,20.0,JUL,2016,04,NORTH VANCOUVER
2016-07-05,TACOREANO RESTAURANT COQUITLAM BC,23.1,JUL,2016,05,COQUITLAM
2016-07-08,SHELL 5 8 AVE NEW WESTMINSTBC,20.0,JUL,2016,08,NEW WESTMINSTER
2016-07-10,WAL-MART SUPERCENTER#3057VANCOUVER BC,21.94,JUL,2016,10,VANCOUVER
2016-07-10,ESSO 3965 NORTH ROAD BURNABY BC,40.0,JUL,2016,10,NORTH VANCOUVER
2016-07-11,ESSO 3965 NORTH ROAD BURNABY BC,4.5,JUL,2016,11,NORTH VANCOUVER
2016-07-12,WAL-MART SUPERCENTER#1112PORT COUQUITLBC,3.1,JUL,2016,12,Unknown
2016-07-12,MCDONALD'S #40343 PORT COQUITLABC,1.05,JUL,2016,12,COQUITLAM
2016-07-15,ALDO #1036 BURNABY BC,39.2,JUL,2016,15,BURNABY
2016-07-15,EBISU ON ROBSON VANCOUVER BC,37.19,JUL,2016,15,VANCOUVER
2016-07-15,WAL-MART SUPERCENTER#3008BURNABY BC,15.01,JUL,2016,15,BURNABY
2016-07-16,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.13,JUL,2016,16,VANCOUVER
2016-07-17,WAL-MART SUPERCENTER#3057VANCOUVER BC,5.05,JUL,2016,17,VANCOUVER
2016-07-17,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,3.85,JUL,2016,17,NORTH VANCOUVER
2016-07-17,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,JUL,2016,17,NORTH VANCOUVER
2016-07-18,7-ELEVEN #17759 D2821 COQUITLAM BC,1.77,JUL,2016,18,COQUITLAM
2016-07-18,ESSO 3965 NORTH ROAD BURNABY BC,4.5,JUL,2016,18,NORTH VANCOUVER
2016-07-18,VINCI PARK - CANADA PLACEVANCOUVER BC,9.0,JUL,2016,18,VANCOUVER
2018-08-26,SAVE ON FOODS #2221 BURNABY BC,5.37,AUG,2018,26,BURNABY
2018-08-27,BONO CAFE COQUITLAM BC,3.68,AUG,2018,27,COQUITLAM
2018-08-27,WHITE SPOT #117 BURNABY BC,19.31,AUG,2018,27,BURNABY
2018-08-30,TAP & BARREL BREWHALL VANCOUVER BC,7.77,AUG,2018,30,VANCOUVER
2018-08-30,SAPPERTON TOWN PANTRY PAPNEW WESTMINSTBC,20.0,AUG,2018,30,NEW WESTMINSTER
2018-08-30,MANNA SUSHI JAPANESE RESTVANCOUVER BC,15.1,AUG,2018,30,VANCOUVER
2018-08-30,MCDONALD'S #21433 MYMCDS NEW WESTMINSTBC,2.1,AUG,2018,30,NEW WESTMINSTER
2018-08-31,BC LIQUOR #203 BURNABY BC,16.69,AUG,2018,31,BURNABY
2018-09-01,EARL'S KINGSWAY BURNABY BC,18.45,SEP,2018,01,BURNABY
2018-09-02,HANNAM SUPERMARKET BURNABBURNABY BC,6.99,SEP,2018,02,BURNABY
2018-09-02,SULBING CAFE BURNABY BC,17.27,SEP,2018,02,BURNABY
2018-09-03,"ATOM TICKETS, LLC 3106272866 CA",34.0,SEP,2018,03,Unknown
2018-09-04,SPOTIFY P07504C8C8 STOCKHOLM,4.99,SEP,2018,04,Unknown
