c1,c2,date,place,amount,year
6,23,JAN 28,PLAYSTATION SONYENTERT 800-345-7669 ON,49.98,2016
7,27,JAN 28,WAL-MART SUPERCENTER#3057VANCOUVER BC,7.58,2016
8,30,JAN 28,WAL-MART SUPERCENTER#3057VANCOUVER BC,2.98,2016
9,34,JAN 28,PINE SUSHI SQUARE NORTH VANCOUVBC,9.95,2016
10,38,JAN 28,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2016
11,42,JAN 28,PAYMENT - THANK YOU / PAIEMENT - MERCI,-1002.11,2016
12,45,JAN 29,CHARTWELLSSFURAVEQPS BURNABY BC,5.24,2016
13,48,JAN 29,PINE SUSHI SQUARE NORTH VANCOUVBC,9.95,2016
14,50,JAN 29,MICROSOFT *XBOXLIVE MISSISSAUGA ON,11.19,2016
15,52,JAN 30,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,2016
0,0,JAN 31,WAL-MART SUPERCENTER#3057VANCOUVER BC,5.47,2016
1,2,JAN 31,WAL-MART SUPERCENTER#3057VANCOUVER BC,17.78,2016
2,4,JAN 31,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.62,2016
3,6,JAN 31,PINE SUSHI SQUARE NORTH VANCOUVBC,9.95,2016
4,8,JAN 31,A&W CAPILANO MALL NORTH VANCOUVBC,2.63,2016
5,10,FEB 01,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,2016
6,12,FEB 01,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2016
7,14,FEB 02,PLAYSTATION SONYENTERT 800-345-7669 ON,14.99,2016
8,16,FEB 02,GUADALUPE RESTAURANTS BURNABY BC,9.19,2016
9,18,FEB 02,CHARTWELLSSFURAVEQPS BURNABY BC,2.30,2016
10,20,FEB 02,MCDONALD'S #21433 NEW WESTMINSTBC,1.88,2016
11,22,FEB 02,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2016
12,24,FEB 03,SAFEWAY #4917 NEW WESTMINSTBC,5.81,2016
13,26,FEB 03,RENAISSANCE CAFE BURNABY BC,2.30,2016
14,28,FEB 03,CHEVRON 3 EAST EIGHTH AV NEW WESTMINSTBC,10.40,2016
15,30,FEB 04,SUSHI CALIFORNIA COQUITLAM BC,20.95,2016
16,32,FEB 04,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2016
17,34,FEB 04,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2016
18,36,FEB 05,KOYA JAPAN BURNABY BC,8.18,2016
0,0,FEB 25,STARBUCKS SFU 67355 BURNABY BC,2.00,2016
1,4,FEB 25,G&J FOOD BURNABY BC,8.40,2016
2,8,FEB 26,FATBURGER LOUGHEED BURNABY BC,10.49,2016
3,12,FEB 27,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,3.00,2016
4,15,FEB 27,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.10,2016
5,19,FEB 27,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,4.29,2016
6,23,FEB 28,MICROSOFT *XBOXLIVE MISSISSAUGA ON,11.19,2016
7,27,FEB 28,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.10,2016
8,30,FEB 28,PINE SUSHI SQUARE NORTH VANCOUVBC,8.96,2016
9,34,FEB 29,L A SUSHI BURNABY BC,13.86,2016
10,38,MAR 01,PLAYSTATION SONYENTERT 800-345-7669 ON,39.99,2016
11,42,MAR 02,G&J FOOD BURNABY BC,8.40,2016
12,45,MAR 02,STARBUCKS SFU 67355 BURNABY BC,2.00,2016
13,48,MAR 02,QUESADA BURRITOS AND TACOBURNABY BC,7.02,2016
14,50,MAR 03,BOOSTERJUICE 117 LANGLEY BC,4.25,2016
15,52,MAR 04,OPA070-LANGLEY LANGLEY BC,10.28,2016
0,0,MAR 04,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.10,2016
1,2,MAR 04,SHELL 6511 HASTINGS ST BURNABY BC,20.00,2016
2,4,MAR 05,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,14.12,2016
3,6,MAR 06,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.08,2016
4,8,MAR 06,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,16.91,2016
5,10,MAR 06,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,11.45,2016
6,12,MAR 06,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2016
7,14,MAR 08,SUSHI CALIFORNIA COQUITLAM BC,10.45,2016
8,16,MAR 09,SUSHI CALIFORNIA COQUITLAM BC,10.45,2016
9,18,MAR 12,WAL-MART SUPERCENTER#3057VANCOUVER BC,11.52,2016
10,20,MAR 12,STARBUCKS SFU 67355 BURNABY BC,2.00,2016
11,22,MAR 13,CHURCH'S CHICKEN VANCOUVER BC,6.05,2016
12,24,MAR 13,PINE SUSHI SQUARE NORTH VANCOUVBC,7.16,2016
13,26,MAR 14,KOYA JAPAN BURNABY BC,8.18,2016
14,28,MAR 14,STARBUCKS SFU 67355 BURNABY BC,2.00,2016
15,30,MAR 14,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2016
16,32,MAR 14,MCDONALD'S #1449 Q04 COQUITLAM BC,1.88,2016
17,34,MAR 15,G&J FOOD BURNABY BC,8.40,2016
18,36,MAR 15,PIZZA HUT BURNABY BC,13.64,2016
0,0,MAR 17,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2016
1,2,MAR 17,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2016
2,4,MAR 18,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,10.45,2016
3,6,MAR 18,MCDONALD'S #21433 NEW WESTMINSTBC,6.39,2016
4,8,MAR 18,STARBUCKS SFU 67355 BURNABY BC,2.00,2016
5,10,MAR 19,WAL-MART SUPERCENTER#3057VANCOUVER BC,2.24,2016
6,12,MAR 19,CHARTWELLS - #67358 BURNABY BC,2.00,2016
7,14,MAR 19,TOMMY HILFIGER #0720 NEW WESTMINSTBC,54.49,2016
8,16,MAR 19,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,4.65,2016
9,18,MAR 19,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,2.10,2016
10,20,MAR 20,WAL-MART SUPERCENTER#3057VANCOUVER BC,4.00,2016
11,22,MAR 20,STARBUCKS 04440 N VANCOUVER BC,2.00,2016
12,24,MAR 20,PAYMENT - THANK YOU / PAIEMENT - MERCI,-586.57,2016
13,26,MAR 20,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.88,2016
14,28,MAR 20,PINE SUSHI SQUARE NORTH VANCOUVBC,9.87,2016
15,30,MAR 20,MCDONALD'S #21433 NEW WESTMINSTBC,4.29,2016
16,32,MAR 20,ESSO 3965 NORTH ROAD BURNABY BC,43.61,2016
17,34,MAR 21,STARBUCKS SFU 67355 BURNABY BC,2.00,2016
18,36,MAR 21,KOYA JAPAN BURNABY BC,9.85,2016
0,0,SEP 02,FAMOUS PLAYER 1412QPS COQUITLAM BC,3.34,2016
1,2,SEP 02,THRIFTY FOODS 9474 VANCOUVER BC,7.69,2016
2,4,SEP 02,WAL-MART SUPERCENTER#3008BURNABY BC,0.98,2016
3,6,SEP 02,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2016
4,8,SEP 03,TENTATSU BURNABY BC,27.72,2016
5,10,SEP 04,WAL-MART SUPERCENTER#3057VANCOUVER BC,6.51,2016
6,12,SEP 04,GROUPON CANADAINC 877-788-7858 QC,40.00,2016
7,14,SEP 05,WAL-MART SUPERCENTER#3008BURNABY BC,6.65,2016
8,16,SEP 05,DRIVE BADMINTON CENTRE RICHMOND BC,14.00,2016
9,18,SEP 05,MCDONALD'S #12417 QPS COQUITLAM BC,2.09,2016
10,20,SEP 06,SFU BOOKSTORE BURNABY BURNABY BC,158.83,2016
11,22,SEP 07,HOUSE OF TOFU SOUP BURNABY BC,13.89,2016
12,24,SEP 08,SHAW CABLESYSTEMS CALGARY AB,44.77,2016
13,26,SEP 09,BUBBLE WAFFLE HOUSE BURNABY BC,8.35,2016
14,28,SEP 09,WAL-MART SUPERCENTER#1205SURREY BC,25.32,2016
15,30,SEP 09,SFU BOOKSTORE BURNABY BURNABY BC,265.65,2016
16,32,SEP 09,TEXTBOOKRENTAL.CA OTTAWA ON,112.49,2016
17,34,SEP 09,STARBUCKS 04941 SURREY BC,2.00,2016
18,36,SEP 09,BEST SUSHI N KITCHEN COQUITLAM BC,33.32,2016
0,0,JUL 27,STARBUCKS SFU 67355 BURNABY BC,2.10,2016
1,4,JUL 28,ESSO 3965 NORTH ROAD BURNABY BC,20.00,2016
2,8,JUL 29,SFU BOOKSTORE BURNABY BURNABY BC,0.84,2016
3,12,JUL 30,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,2016
4,15,JUL 30,A&W CAPILANO MALL NORTH VANCOUVBC,6.62,2016
5,19,JUL 31,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,2016
6,23,JUL 31,ESSO 3965 NORTH ROAD BURNABY BC,20.00,2016
7,27,JUL 31,A&W CAPILANO MALL NORTH VANCOUVBC,6.28,2016
8,30,AUG 01,SAVE ON FOODS #2221 BURNABY BC,11.36,2016
9,34,AUG 01,SUSHI CALIFORNIA COQUITLAM BC,6.64,2016
10,38,AUG 02,WAL-MART SUPERCENTER#3057VANCOUVER BC,0.17,2016
11,42,AUG 02,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.08,2016
12,45,AUG 02,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,2016
13,48,AUG 03,BEST BUY #941 RICHMOND BC,336.44,2016
14,50,AUG 03,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2016
15,52,AUG 04,STARBUCKS SFU 67355 BURNABY BC,4.78,2016
0,0,APR 26,DENNY'S 03-089 COQUITL COQUITLAM BC,10.26,2016
1,4,APR 26,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2016
2,8,APR 27,WAL-MART SUPERCENTER#3057VANCOUVER BC,224.01,2016
3,12,APR 28,"TREO, PORT MANN BRIDGE TOCOQUITLAM BC",10.90,2016
4,15,APR 28,BELL MOBILITY VERDUN QC,186.83,2016
5,19,APR 28,PHO 51 PORT COQUITLABC,11.77,2016
6,23,APR 29,TIM HORTONS 3965 QTH PORT COQUITLABC,2.30,2016
7,27,APR 29,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2016
8,30,MAY 02,PINE SUSHI SQUARE NORTH VANCOUVBC,8.51,2016
9,34,MAY 03,WAL-MART SUPERCENTER#1112PORT COUQUITLBC,6.79,2016
10,38,MAY 04,SHAW CABLESYSTEMS CALGARY AB,23.44,2016
11,42,MAY 05,PLAYSTATION SONYENTERT 800-345-7669 ON,19.99,2016
12,45,MAY 06,FONG HOLDINGS LTD - AUTO BURNABY BC,7.50,2016
13,48,MAY 06,NIKE FACTORY OUTLET MC RICHMOND BC,-20.15,2016
14,50,MAY 06,PETROCAN-710 SE MARINE DRVANCOUVER BC,40.00,2016
15,52,MAY 07,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.08,2016
0,0,MAY 07,WAL-MART SUPERCENTER#3057VANCOUVER BC,9.95,2016
1,2,MAY 07,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.52,2016
2,4,MAY 07,NIKE FACTORY OUTLET MC RICHMOND BC,43.64,2016
3,6,MAY 07,UNDER ARMOUR VANCOUVER RICHMOND BC,60.45,2016
4,8,MAY 07,LINDT & SPRUNGLI RICHMOND BC,6.24,2016
5,10,MAY 07,STARBUCKS 04440 N VANCOUVER BC,2.59,2016
6,12,MAY 07,SAVE ON FOODS #2249 N VANCOUVER BC,8.43,2016
7,14,MAY 08,FIVE GUYS BURGERS FRI PORT COQUITLABC,4.92,2016
8,16,MAY 08,WAL-MART SUPERCENTER#1112PORT COUQUITLBC,1.31,2016
9,18,MAY 08,MCDONALD'S #40343 PORT COQUITLABC,1.05,2016
10,20,MAY 08,MCDONALD'S #40343 PORT COQUITLABC,1.05,2016
11,22,MAY 09,SAVE ON FOODS #2249 N VANCOUVER BC,6.21,2016
12,24,MAY 09,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,2016
13,26,MAY 09,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,2016
14,28,MAY 10,SUSHI TOWN RESTAURANT NORTH VANCOUVBC,10.45,2016
15,30,MAY 10,STARBUCKS 04440 N VANCOUVER BC,2.33,2016
16,32,MAY 10,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,2016
17,34,MAY 11,SAFEWAY #4917 NEW WESTMINSTBC,5.09,2016
18,36,MAY 11,SIMON FRASER UNIVERSITY BURNABY BC,3.25,2016
0,0,APR 03,APL* ITUNES.COM/BILL 800-676-2775 ON,1.29,2016
1,4,APR 05,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2016
2,8,APR 13,MUNDIES ROYAL CITY TOWINBURNABY BC,113.07,2016
3,12,APR 13,BONNY'S TAXI QC 89 BURNABY BC,17.70,2016
4,15,APR 17,WAL-MART SUPERCENTER#3008BURNABY BC,5.60,2016
5,19,APR 18,WAL-MART SUPERCENTER#3008BURNABY BC,10.22,2016
6,23,APR 18,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2016
7,27,APR 20,PLAYSTATION SONYENTERT 800-345-7669 ON,14.99,2016
8,30,APR 20,PHO LICIOUS RICHMOND BC,7.25,2016
9,33,APR 20,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2016
10,35,APR 20,SIMON FRASER UNIVERSITY BURNABY BC,5.00,2016
11,37,APR 21,IMPARK00010123U VANCOUVER BC,5.00,2016
0,0,JUN 27,KFC/TACO BELL #1840 DELTA BC,8.91,2016
1,4,JUN 27,ESSO 3965 NORTH ROAD BURNABY BC,20.00,2016
2,8,JUN 28,WAL-MART SUPERCENTER#5838SURREY BC,1.33,2016
3,12,JUN 28,WAL-MART SUPERCENTER#5838SURREY BC,25.73,2016
4,15,JUN 28,NORDEL SUSHI SURREY BC,14.38,2016
5,19,JUN 30,QUESADA BURRITOS AND TACOBURNABY BC,9.02,2016
6,23,JUN 30,DENNY'S 03-071 VANCOUV VANCOUVER BC,15.70,2016
7,27,JUN 30,STARBUCKS 00174 VANCOUVER BC,2.00,2016
8,30,JUN 30,CHEVRON 496 E COLUMBIA S NEW WESTMINSTBC,20.18,2016
9,34,JUL 01,MCDONALD'S #14908 BURNABY BC,1.05,2016
10,38,JUL 01,SHAW CABLESYSTEMS CALGARY AB,89.12,2016
11,42,JUL 02,KFC/TACO BELL #1840 DELTA BC,7.63,2016
12,45,JUL 02,MCDONALD'S #40141 SURREY BC,1.05,2016
13,48,JUL 03,WAL-MART SUPERCENTER#5838SURREY BC,1.40,2016
14,50,JUL 03,WAL-MART SUPERCENTER#5838SURREY BC,1.33,2016
15,52,JUL 03,NORDEL SUSHI SURREY BC,14.79,2016
0,0,JUL 04,ESSO 3965 NORTH ROAD BURNABY BC,20.00,2016
1,2,JUL 05,TACOREANO RESTAURANT COQUITLAM BC,23.10,2016
2,4,JUL 08,SHELL 5 8 AVE NEW WESTMINSTBC,20.00,2016
3,6,JUL 10,WAL-MART SUPERCENTER#3057VANCOUVER BC,21.94,2016
4,8,JUL 10,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2016
5,10,JUL 11,ESSO 3965 NORTH ROAD BURNABY BC,4.50,2016
6,12,JUL 12,WAL-MART SUPERCENTER#1112PORT COUQUITLBC,3.10,2016
7,14,JUL 12,MCDONALD'S #40343 PORT COQUITLABC,1.05,2016
8,16,JUL 15,ALDO #1036 BURNABY BC,39.20,2016
9,18,JUL 15,EBISU ON ROBSON VANCOUVER BC,37.19,2016
10,20,JUL 15,WAL-MART SUPERCENTER#3008BURNABY BC,15.01,2016
11,22,JUL 15,PAYMENT - THANK YOU / PAIEMENT - MERCI,-664.77,2016
12,24,JUL 16,WAL-MART SUPERCENTER#3057VANCOUVER BC,1.13,2016
13,26,JUL 17,WAL-MART SUPERCENTER#3057VANCOUVER BC,5.05,2016
14,28,JUL 17,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,3.85,2016
15,30,JUL 17,MCDONALD'S #14910 Q04 NORTH VANCOUVBC,1.05,2016
16,32,JUL 18,7-ELEVEN #17759 D2821 COQUITLAM BC,1.77,2016
17,34,JUL 18,ESSO 3965 NORTH ROAD BURNABY BC,4.50,2016
18,36,JUL 18,VINCI PARK - CANADA PLACEVANCOUVER BC,9.00,2016
0,0,AUG 26,SAVE ON FOODS #2221 BURNABY BC,5.37,2018
1,4,AUG 27,BONO CAFE COQUITLAM BC,3.68,2018
2,8,AUG 27,WHITE SPOT #117 BURNABY BC,19.31,2018
3,12,AUG 30,TAP & BARREL BREWHALL VANCOUVER BC,7.77,2018
4,15,AUG 30,SAPPERTON TOWN PANTRY PAPNEW WESTMINSTBC,20.00,2018
5,19,AUG 30,MANNA SUSHI JAPANESE RESTVANCOUVER BC,15.10,2018
6,23,AUG 30,MCDONALD'S #21433 MYMCDS NEW WESTMINSTBC,2.10,2018
7,27,AUG 31,BC LIQUOR #203 BURNABY BC,16.69,2018
8,30,AUG 31,PAYMENT - THANK YOU / PAIEMENT - MERCI,-581.64,2018
9,34,SEP 01,EARL'S KINGSWAY BURNABY BC,18.45,2018
10,38,SEP 02,HANNAM SUPERMARKET BURNABBURNABY BC,6.99,2018
11,42,SEP 02,SULBING CAFE BURNABY BC,17.27,2018
12,45,SEP 03,"ATOM TICKETS, LLC 3106272866 CA",34.00,2018
13,48,SEP 04,SPOTIFY P07504C8C8 STOCKHOLM,4.99,2018
14,50,SEP 05,SFU STB WEST # 87275702 BURNABY BC,4.46,2018
15,52,SEP 05,ESSO 3965 NORTH ROAD BURNABY BC,20.00,2018
0,0,SEP 06,DAMACAN SUSHI BURNABY BC,39.00,2018
1,2,SEP 07,NW PARKING SERVICES NEW WESTMINSTBC,1.00,2018
2,4,SEP 07,MCDONALD'S #21433 NEW WESTMINSTBC,4.19,2018
3,6,SEP 07,CACTUS CLUB COQUITLAM COQUITLAM BC,19.38,2018
4,8,SEP 08,COMPASS VENDING BURNABY BC,5.00,2018
5,10,SEP 08,COMPASS ACCOUNT BURNABY BC,2.95,2018
6,12,SEP 09,MYOUNG DONG KAHL GOOK SOOBURNABY BC,10.00,2018
7,14,SEP 09,SAPPERTON TOWN PANTRY PAPNEW WESTMINSTBC,20.00,2018
8,16,SEP 09,MCDONALD'S #21433 NEW WESTMINSTBC,3.98,2018
9,18,SEP 09,WOODS SPORTS PUB COQUITLAM BC,8.60,2018
10,20,SEP 10,SUBWAY 07752 SURREY BC,4.19,2018
11,22,SEP 11,AMAZON.CA AMAZON.CA ON,34.91,2018
12,24,SEP 11,SHAW CABLESYSTEMS CALGARY AB,53.16,2018
13,26,SEP 11,QUEENS PARK TOWN PANTRY PNEW WESTMINSTBC,20.00,2018
14,28,SEP 11,QUESADA MEXICAN GRILL NEW WESTMINSTBC,9.86,2018
15,30,SEP 12,IMPARK00012298U NEW WESTMINSTBC,2.00,2018
16,32,SEP 12,"ATOM TICKETS, LLC 3106272866 CA",-8.50,2018
17,34,SEP 12,SFU STB WEST # 87275702 BURNABY BC,2.36,2018
18,36,SEP 14,MCDONALD'S #40251 BURNABY BC,12.16,2018
0,0,FEB 28,MCDONALD'S #21433 NEW WESTMINSTBC,1.05,2018
1,2,MAR 01,NESTERS MARKET #80063 BURNABY BC,16.58,2018
2,4,MAR 01,HOPS NEW WESTMINSTBC,47.38,2018
3,6,MAR 02,CIBC TORONTO,-190.00,2018
4,8,MAR 02,TELUS MOBILITY SCARBOROUGH ON,189.62,2018
5,10,MAR 02,ZAAKI DONAIR N WESTMINSTERBC,21.00,2018
6,12,MAR 02,FRENCHIES MONTREAL SMOKEDVANCOUVER BC,16.17,2018
7,14,MAR 03,COMPASS VENDING BURNABY BC,5.00,2018
8,16,MAR 03,COMPASS VENDING BURNABY BC,5.00,2018
9,18,MAR 04,PAYPAL *RUKSHANAH1 4029357733 ON,29.78,2018
10,20,MAR 04,CHURCH'S CHICKEN COQUITLAM BC,2.63,2018
11,22,MAR 04,COQUITLAM CHEERS CHICKEN COQUITLAM BC,19.50,2018
0,0,MAY 27,SAVE ON FOODS #2221 BURNABY BC,9.16,2018
1,4,MAY 28,AMAZON *MARKETPLCE CA WWW.AMAZON.CAON,15.55,2018
2,8,MAY 29,CINEPLEX ENTERTAINMENT 416-323-6600 ON,15.30,2018
3,12,MAY 30,BIG CHICKEN TOWN (COQU COQUITLAM BC,26.51,2018
4,15,MAY 31,ESSO 3965 NORTH ROAD BURNABY BC,20.00,2018
5,19,JUN 01,"ATOM TICKETS, LLC 3106272866 CA",12.00,2018
6,23,JUN 01,FRESH BOX BURNABY BC,6.95,2018
7,27,JUN 01,MCDONALD'S #21433 MYMCDS NEW WESTMINSTBC,4.08,2018
8,30,JUN 01,PAYBYPHONE BURNABY VANCOUVER BC,0.33,2018
9,34,JUN 01,PAYMENT - THANK YOU / PAIEMENT - MERCI,-498.00,2018
10,38,JUN 02,WAL-MART SUPERCENTER#5777NEW WESTMINSTBC,40.42,2018
11,42,JUN 02,MCDONALD'S #40094 NEW WESTMINSTBC,1.05,2018
12,45,JUN 03,DELICIOUS PHO COQUITLAM BC,10.98,2018
13,48,JUN 03,PETROCAN-829 BRUNETTE AVECOQUITLAM BC,20.00,2018
14,50,JUN 04,MASTER BILLIARDS COQUITLAM BC,8.47,2018
15,52,JUN 04,SPOTIFY P06398B8E1 STOCKHOLM,4.99,2018
0,0,APR 03,FANDINE TECHNOLOGIES L VANCOUVER BC,3.45,2018
1,2,APR 04,TIM HORTONS #7536 BURNABY BC,1.88,2018
2,4,APR 04,SPOTIFY P05817BAD9 STOCKHOLM,4.99,2018
3,6,APR 05,FANDINE TECHNOLOGIES L VANCOUVER BC,1.00,2018
4,8,APR 05,CLUB ILIA BURNABY BC,10.14,2018
0,0,DEC 02,CENTENNIAL TOWN PANTRY BURNABY BC,4.02,2018
1,2,DEC 02,MCDONALD'S #21433 NEW WESTMINSTBC,2.61,2018
2,4,DEC 02,MCDONALD'S #29716 MYMCDS BURNABY BC,1.77,2018
3,6,DEC 03,WAL-MART SUPERCENTER#1213BURNABY BC,13.29,2018
4,8,DEC 03,PHO 99 RESTAURANT COQUITLAM BC,11.55,2018
5,10,DEC 03,AMZN MKTP CA*M04E55HR1 WWW.AMAZON.CAON,34.22,2018
6,12,DEC 04,SPOTIFY P08878E1BA STOCKHOLM,4.99,2018
7,14,DEC 04,CENTENNIAL TOWN PANTRY BURNABY BC,4.02,2018
8,16,DEC 04,MCDONALD'S #40255 MYMCDS NEW WESTMINSTBC,1.05,2018
9,18,DEC 04,ESSO 780 6TH STREET NEW WEST BC,20.00,2018
10,20,DEC 05,CIBC TORONTO,-125.00,2018
11,22,DEC 05,CENTENNIAL TOWN PANTRY BURNABY BC,24.02,2018
12,24,DEC 06,KAWA SUSHI JAPANESE RESTAVANCOUVER BC,7.90,2018
13,26,DEC 07,STARBUCKS CARD RELOAD 800-782-7282 ON,25.00,2018
14,28,DEC 07,CACTUS CLUB COQUITLAM COQUITLAM BC,22.31,2018
15,30,DEC 08,CENTENNIAL TOWN PANTRY BURNABY BC,4.02,2018
16,32,DEC 08,MCDONALD'S #23911 MYMCDS SURREY BC,3.15,2018
17,34,DEC 09,WAL-MART SUPERCENTER#3008BURNABY BC,15.52,2018
18,36,DEC 09,KRISHNAS DOSA GRILL SURREY BC,13.60,2018
0,0,JUL 30,WHITE SPOT #163 BURNABY BC,12.75,2018
1,4,JUL 30,SAPPERTON TOWN PANTRY PAPNEW WESTMINSTBC,20.00,2018
2,8,AUG 01,A&W SFU #773 BURNABY BC,6.81,2018
3,12,AUG 02,TAP & BARREL BREWHALL VANCOUVER BC,7.77,2018
4,15,AUG 02,TAP & BARREL BREWHALL VANCOUVER BC,11.58,2018
5,19,AUG 02,TAP & BARREL BREWHALL VANCOUVER BC,7.77,2018
6,23,AUG 02,MCDONALD'S #8078 Q04 VANCOUVER BC,2.63,2018
7,27,AUG 02,11170 MACS CONV. STORES NEW WESTMINISBC,2.61,2018
8,30,AUG 04,MCDONALD'S #23911 Q04 SURREY BC,9.19,2018
9,34,AUG 04,CITY OF WHITE ROCK - TICKWHITE ROCK BC,2.42,2018
10,38,AUG 04,ZAAKI DONAIR N WESTMINSTERBC,8.93,2018
11,42,AUG 05,FONG HOLDINGS LTD - AUTO BURNABY BC,7.00,2018
12,45,AUG 06,BR FACTORY STORE 7616 VANCOUVER BC,30.78,2018
13,48,AUG 06,SPOTIFY P06F3DEE35 STOCKHOLM,4.99,2018
14,50,AUG 08,SHAW CABLESYSTEMS CALGARY AB,44.80,2018
15,52,AUG 08,MCDONALD'S #12135 Q04 COQUITLAM BC,1.83,2018
0,0,OCT 26,DAMSO RESTAURANT BUTE LTDVANCOUVER BC,28.28,2018
1,4,OCT 27,TELUS MOBILITY PREAUTH CALGARY AB,119.43,2018
2,8,OCT 27,COQUITLAM CHEERS CHICKEN COQUITLAM BC,10.58,2018
3,12,OCT 27,MCDONALD'S #23911 MYMCDS SURREY BC,1.88,2018
4,15,OCT 28,SAFEWAY #4917 NEW WESTMINSTBC,15.99,2018
5,19,OCT 28,A&W STORE # 0573 SURREY BC,4.73,2018
6,23,OCT 28,KOODO MOBILE PAC EDMONTON AB,36.20,2018
7,27,OCT 28,MCDONALD'S #23911 MYMCDS SURREY BC,1.88,2018
8,30,OCT 29,FRESHII - 1170 BURNABY BC,9.44,2018
9,34,OCT 30,KI SUSHI JAPANESE RESTAURNEW WESTMINSTBC,13.58,2018
10,38,OCT 30,MCDONALD'S #40251 BURNABY BC,4.19,2018
11,42,OCT 30,ESSO 12808 KING GEORGE HWSURREY BC,40.00,2018
12,45,OCT 30,SAVE ON FOODS #2228 BURNABY BC,2.39,2018
13,48,OCT 31,SFU J DOUGLAS # 87275004 BURNABY BC,9.23,2018
14,50,NOV 01,DENNY'S #9300 SURREY BC,146.42,2018
15,52,NOV 02,DENNY'S 03-089 COQUITL COQUITLAM BC,23.52,2018
0,0,NOV 04,PHO99 VIETNAMESE NOODL COQUITLAM BC,58.63,2018
1,2,NOV 04,SPOTIFY P081D4B6DF STOCKHOLM,4.99,2018
2,4,NOV 04,THE HOLY CRAB VANCOUVER BC,15.38,2018
3,6,NOV 04,ESSO 3965 NORTH ROAD BURNABY BC,40.00,2018
4,8,NOV 06,WONHO HAIR SALON COQUITLAM BC,18.11,2018
5,10,NOV 06,PHO 99 RESTAURANT COQUITLAM BC,13.24,2018
6,12,NOV 06,DEPENDABLE BRAKES&MUFFLERNEW WESTMINSTBC,44.80,2018
7,14,NOV 07,CIBC TORONTO,-180.00,2018
8,16,NOV 07,MCDONALD'S #12135 Q04 COQUITLAM BC,2.09,2018
9,18,NOV 08,QUEENS PARK TOWN PANTRY NEW WESTMINSTBC,4.02,2018
10,20,NOV 08,MCDONALD'S #21433 MYMCDS NEW WESTMINSTBC,2.09,2018
11,22,NOV 09,MASTER BILLIARDS COQUITLAM BC,9.24,2018
12,24,NOV 09,MCDONALD'S #10429 SQUAMISH BC,3.14,2018
13,26,NOV 09,MCDONALD'S #10429 SQUAMISH BC,3.14,2018
14,28,NOV 09,BC LIQUOR #097 NEW WESTMINSTBC,47.35,2018
0,0,NOV 13,CHATIME BURNABY BC,5.57,2018
1,2,NOV 13,ZARA RICHMOND #9279 RICHMOND BC,44.69,2018
2,4,NOV 14,RAMEN GAOH BURNABY BC,14.79,2018
3,6,NOV 15,MCDONALD'S #40251 MYMCDS BURNABY BC,2.09,2018
4,8,NOV 15,GREEN LEAF CAFE BURNABY BC,24.70,2018
5,10,NOV 16,REVENUE SERVICES BC VICTORIA BC,23.00,2018
